id,source,title,link,post_date,collected_at
213,과학기술정보통신부 보도자료,피지컬 AI 얼라이언스 2기 출범식,https://www.msit.go.kr/bbs/view.do?sCode=user&mPid=208&mId=213&bbsSeqNo=87&nttSeqNo=3177702,2026-06-19,2026-07-13 14:26:19
61,행정안전부 보도자료,"AI 발견 고위험 취약점에 대한 신속한 보안 패치 적용을 「적극행정」으로 인정, 면책 적용",https://www.mois.go.kr/frt/bbs/type010/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000008&nttId=127771,2026-07-13,2026-07-13 13:49:10
62,행정안전부 보도자료,공무원이 직접 만든 ‘AI 법령 비서’ 시범 개시,https://www.mois.go.kr/frt/bbs/type010/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000008&nttId=127770,2026-07-13,2026-07-13 13:49:10
47,행정안전부 보도자료,인공지능과 공공데이터를 융합해 혁신을 이끄는 'AI 새싹기업' 모여라!,https://www.mois.go.kr/frt/bbs/type010/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000008&nttId=116919,2025-04-08,2026-07-13 11:47:34
48,행정안전부 보도자료,"인공지능(AI)시대, 지속가능한 미래정부를 위한 글로벌 협력 논의",https://www.mois.go.kr/frt/bbs/type010/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000008&nttId=113331,2024-10-29,2026-07-13 11:47:34
49,행정안전부 보도자료,"디지털 지도로 간편하게 폐가전 배출하고, 인공지능 딥러닝으로 위기의 아이들 구한다",https://www.mois.go.kr/frt/bbs/type010/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000008&nttId=113292,2024-10-28,2026-07-13 11:47:34
50,행정안전부 보도자료,"지자체 CCTV, 인공지능 기술로 관제 기능을 고도화한다!",https://www.mois.go.kr/frt/bbs/type010/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000008&nttId=112304,2024-09-11,2026-07-13 11:47:34
51,행정안전부 보도자료,"인공지능 시대의 핵심 데이터, ‘법원 판결문’ 활용 논의를 위해 민·관이 한자리에",https://www.mois.go.kr/frt/bbs/type010/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000008&nttId=111053,2024-07-22,2026-07-13 11:47:34
52,행정안전부 보도자료,산재 업무처리에 인공지능(AI) 의학자문 활용한다,https://www.mois.go.kr/frt/bbs/type010/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000008&nttId=110523,2024-07-02,2026-07-13 11:47:34
53,행정안전부 보도자료,"최초의 정부 전용 생성형 인공지능(AI), 시범서비스 시작",https://www.mois.go.kr/frt/bbs/type010/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000008&nttId=109883,2024-06-12,2026-07-13 11:47:34
